"FunCat","Regulon","Operon","SACOL.numbers","USA300.numbers","Gene.symbol","log2.fold.change","Fold.change","Function"
"Stress and Starvation","SigB","SACOL0455 SACOL0456 yflT","SACOL0456","USA300HOU_0409","USA300HOU_0409",1.94,3.84,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0455 SACOL0456 yflT","SACOL0457","USA300HOU_0410","yflT",3.78,13.69,"putative heat induced stress protein"
"Stress and Starvation","SigB","SACOL0630","SACOL0630","USA300HOU_0577","USA300HOU_0577",-2.2,0.22,"APC family amino acid-polyamine-organocation transporter"
"Stress and Starvation","SigB","SACOL0671","SACOL0671","USA300HOU_0621","USA300HOU_0621",2.36,5.13,"hydrolase"
"Stress and Starvation","SigB","SACOL0736 SACOL0737 SACOL0738","SACOL0736","USA300HOU_0699","USA300HOU_0699",-1.1,0.47,"possible GNAT family acetyltransferase"
"Stress and Starvation","SigB","SACOL0736 SACOL0737 SACOL0738","SACOL0737","USA300HOU_0700","USA300HOU_0700",-1.03,0.49,"possible lipoprotein"
"Stress and Starvation","SigB","SACOL0736 SACOL0737 SACOL0738","SACOL0738","USA300HOU_0701","USA300HOU_0701",-0.03,0.98,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0830 SACOL0831 whiA","SACOL0830","USA300HOU_0794","USA300HOU_0794",1.58,2.98,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0830 SACOL0831 whiA","SACOL0831","USA300HOU_0795","USA300HOU_0795",1.92,3.79,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0830 SACOL0831 whiA","SACOL0832","USA300HOU_0796","whiA",1.7,3.25,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0855","SACOL0855","USA300HOU_0818","USA300HOU_0818",-1.51,0.35,"acetyltransferase"
"Stress and Starvation","SigB","SACOL0868","SACOL0868","USA300HOU_0830","USA300HOU_0830",2.89,7.41,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0880 trxA_3","SACOL0880","USA300HOU_0845","USA300HOU_0845",1.46,2.76,"TOPRIM domain topiosmerase/primase"
"Stress and Starvation","SigB","SACOL0880 trxA_3","SACOL0881","USA300HOU_0846","trxA_3",1.3,2.46,"possible thioredoxin"
"Stress and Starvation","SigB","SACOL0912","SACOL0912","USA300HOU_0868","USA300HOU_0868",3.26,9.6,"hypothetical protein"
"Stress and Starvation","SigB","SACOL0921 fabK","SACOL0921","USA300HOU_0878","USA300HOU_0878",1.16,2.23,"CBS domain protein"
"Stress and Starvation","SigB","SACOL0921 fabK","SACOL0922","USA300HOU_0879","fabK",-0.02,0.98,"2-nitropropane dioxygenase"
"Stress and Starvation","SigB","SACOL1046","SACOL1046","USA300HOU_0986","USA300HOU_0986",2.04,4.12,"hypothetical protein"
"Stress and Starvation","SigB","SACOL1679","SACOL1679","USA300HOU_1624","USA300HOU_1624",1.64,3.11,"hypothetical protein"
"Stress and Starvation","SigB","SACOL1788 SACOL1789","SACOL1788","USA300HOU_1728","USA300HOU_1728",2.09,4.25,"hypothetical protein"
"Stress and Starvation","SigB","SACOL1788 SACOL1789","SACOL1789","USA300HOU_1729","USA300HOU_1729",1.67,3.18,"possible general stress protein"
"Stress and Starvation","SigB","SACOL1802 rsuA SACOL1804","SACOL1802","USA300HOU_1743","USA300HOU_1743",1.11,2.15,"hypothetical protein"
"Stress and Starvation","SigB","SACOL1802 rsuA SACOL1804","SACOL1803","USA300HOU_1744","rsuA",-0.28,0.82,"ribosomal small subunit pseudouridine synthase A"
"Stress and Starvation","SigB","SACOL1802 rsuA SACOL1804","SACOL1804","USA300HOU_1745","USA300HOU_1745",-0.75,0.59,"polysaccharide biosynthesis protein"
"Stress and Starvation","SigB","SACOL1911 SACOL1912","SACOL1911","USA300HOU_1848","USA300HOU_1848",2.19,4.55,"hypothetical protein"
"Stress and Starvation","SigB","SACOL1911 SACOL1912","SACOL1912","USA300HOU_1849","USA300HOU_1849",2.06,4.18,"glucosamine-6-phosphate isomerase"
"Stress and Starvation","SigB","SACOL1987","SACOL1987","USA300HOU_1927","USA300HOU_1927",2.43,5.38,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2012","SACOL2012","USA300HOU_2019","USA300HOU_2019",1.61,3.04,"GNAT family acetyltransferase"
"Stress and Starvation","SigB","SACOL2013","SACOL2013","USA300HOU_2020","USA300HOU_2020",1.81,3.51,"hypothetical membrane protein"
"Stress and Starvation","SigB","SACOL2076 SACOL2077 csoR","SACOL2076","USA300HOU_2080","USA300HOU_2080",0.26,1.2,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2076 SACOL2077 csoR","SACOL2077","USA300HOU_2081","USA300HOU_2081",-1.07,0.48,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2076 SACOL2077 csoR","SACOL2078","USA300HOU_2082","csoR",-1.14,0.45,"Copper-sensing transcriptional repressor RicR"
"Stress and Starvation","SigB","SACOL2114","SACOL2114","USA300HOU_2110","aldA",2.99,7.96,"aldehyde dehydrogenase"
"Stress and Starvation","SigB","SACOL2132","SACOL2132","USA300HOU_2129","USA300HOU_2129",3.83,14.2,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2168 SACOL2169 SACOL2170","SACOL2168","USA300HOU_2170","USA300HOU_2170",2.82,7.06,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2168 SACOL2169 SACOL2170","SACOL2169","USA300HOU_2171","USA300HOU_2171",3.24,9.44,"possible Iuc family aerobactin synthesis protein"
"Stress and Starvation","SigB","SACOL2168 SACOL2169 SACOL2170","SACOL2170","USA300HOU_2172","USA300HOU_2172",4.05,16.58,"MFS family major facilitator transporter"
"Stress and Starvation","SigB","SACOL2433","SACOL2433","USA300HOU_2415","USA300HOU_2415",1.25,2.37,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2481","SACOL2481","USA300HOU_2462","USA300HOU_2462",2.8,6.98,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2484","SACOL2484","USA300HOU_2465","USA300HOU_2465",3.52,11.45,"alkylhydroperoxidase"
"Stress and Starvation","SigB","SACOL2519","SACOL2519","USA300HOU_2497","USA300HOU_2497",2.04,4.12,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2605","SACOL2605","USA300HOU_2582","USA300HOU_2582",2.96,7.8,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2621","SACOL2621","USA300HOU_2598","USA300HOU_2598",1.85,3.6,"hypothetical membrane protein"
"Stress and Starvation","SigB","SACOL2625","SACOL2625","USA300HOU_2603","USA300HOU_2603",0.83,1.78,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2631","SACOL2631","USA300HOU_2609","USA300HOU_2609",-2.44,0.18,"possible metallo-beta-lactamase"
"Stress and Starvation","SigB","SACOL2681","SACOL2681","USA300HOU_2658","USA300HOU_2658",1.02,2.03,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2717","SACOL2717","USA300HOU_2695","USA300HOU_2695",2.04,4.11,"hypothetical protein"
"Stress and Starvation","SigB","SACOL2720","SACOL2720","USA300HOU_2698","USA300HOU_2698",1.11,2.16,"hypothetical protein"
"Stress and Starvation","SigB","sarA","SACOL0672","USA300HOU_0622","sarA",1.32,2.5,"staphylococcal accessory regulator A"
"Stress and Starvation","SigB","sarS","SACOL0096","USA300HOU_0123","sarS",-1.25,0.42,"staphylococcal accessory regulator S"
"Stress and Starvation","SigB","sigB rsbW rsbV rsbU","SACOL2054","USA300HOU_2059","sigB",-0.97,0.51,"DNA-directed RNA polymerase sigma subunit FliA"
"Stress and Starvation","SigB","sigB rsbW rsbV rsbU","SACOL2055","USA300HOU_2060","rsbW",-1.31,0.4,"anti-sigma B factor"
"Stress and Starvation","SigB","sigB rsbW rsbV rsbU","SACOL2056","USA300HOU_2061","rsbV",-1.19,0.44,"anti-sigma B factor antagonist"
"Stress and Starvation","SigB","sigB rsbW rsbV rsbU","SACOL2057","USA300HOU_2062","rsbU",-1.29,0.41,"sigma factor B regulator"
"Stress and Starvation","SigB","sodA1","SACOL0118","USA300HOU_0145","sodM",1.48,2.79,"superoxide dismutase"
"Stress and Starvation","SigB","tpgX","SACOL2365","USA300HOU_2351","tpgX",0.98,1.98,"putative lipoprotein"
"Stress and Starvation","SigB","ybbM SACOL2462","SACOL2461","USA300HOU_2443","ybbM",1.26,2.4,"ABC superfamily ATP binding cassette transporter, membrane protein"
"Stress and Starvation","SigB","ybbM SACOL2462","SACOL2462","USA300HOU_2444","USA300HOU_2444",-0.06,0.96,"ABC transporter, ATP-binding protein"
"Stress and Starvation","SigB","yceI","SACOL2711","USA300HOU_2689","yceI",7.68,205.68,"hypothetical protein"
"Stress and Starvation","SigB","ylbE","SACOL2136","USA300HOU_2133","ylbE",3.02,8.12,"putative NAD dependent epimerase"
"Stress and Starvation","SigB","yvdD SACOL0741 SACOL0742","SACOL0740","USA300HOU_0703","yvdD",1.84,3.58,"putative lysine decarboxylase"
"Stress and Starvation","SigB","yvdD SACOL0741 SACOL0742","SACOL0741","USA300HOU_0704","USA300HOU_0704",1.61,3.05,"hypothetical protein"
"Stress and Starvation","SigB","yvdD SACOL0741 SACOL0742","SACOL0742","USA300HOU_0705","USA300HOU_0705",1.91,3.75,"hypothetical protein"
"Stress and Starvation","SigB","yvgN","SACOL0763","USA300HOU_0726","yvgN",1.6,3.03,"oxidoreductase, aldo/keto reductase family"
"Sugar catabolism","ArlR","hup","SACOL1513","USA300HOU_1410","hup",0.98,1.97,"DNA-binding protein HU"
"Sugar catabolism","ArlR","rnhA","SACOL1471","USA300HOU_1371","rnhA",-1.83,0.28,"cell wall enzyme EbsB-like protein"
"Sugar catabolism","ArlR","SACOL1048","SACOL1048","USA300HOU_0988","USA300HOU_0988",1.39,2.63,"acetyltransferase"
"Sugar catabolism","ArlR","ulaA SACOL0401 SACOL0402 SACOL0403","SACOL0400","USA300HOU_0350","ulaA",0.86,1.81,"PTS system ascorbate-specific transporter subunit IIC"
"Sugar catabolism","ArlR","ulaA SACOL0401 SACOL0402 SACOL0403","SACOL0401","USA300HOU_0351","USA300HOU_0351",0.55,1.47,"hypothetical protein"
"Sugar catabolism","ArlR","ulaA SACOL0401 SACOL0402 SACOL0403","SACOL0402","USA300HOU_0352","USA300HOU_0352",0.05,1.04,"PTS system, IIA component"
"Sugar catabolism","ArlR","ulaA SACOL0401 SACOL0402 SACOL0403","SACOL0403","USA300HOU_0353","USA300HOU_0353",-1.04,0.49,"BglG family transcriptional antiterminator"
"Sugar catabolism ","CcpA","acs","SACOL1783","USA300HOU_1722","acsA",3.59,12.04,"acetyl-CoA synthetase"
"Sugar catabolism ","CcpA","acuA acuC","SACOL1784","USA300HOU_1723","acuA",0.65,1.57,"acetoin utilization protein AcuA"
"Sugar catabolism ","CcpA","acuA acuC","SACOL1785","USA300HOU_1724","acuC",1.09,2.13,"acetoin utilization protein AcuC"
"Sugar catabolism ","CcpA","ald2","SACOL1758","USA300HOU_1696","ald2",1.49,2.82,"alanine dehydrogenase"
"Sugar catabolism ","CcpA","aldA","SACOL0154","USA300HOU_0181","aldA",7,128.23,"aldehyde dehydrogenase"
"Sugar catabolism ","CcpA","capD","SACOL0599","USA300HOU_0546","capD",0.66,1.58,"NAD dependent epimerase/dehydratase family protein"
"Sugar catabolism ","CcpA","ccpA","SACOL1786","USA300HOU_1725","ccpA",2.29,4.9,"catabolite control protein A"
"Sugar catabolism ","CcpA","dhaKLM","SACOL0707","USA300HOU_0671","dhaK",4.94,30.78,"dihydroxyacetone kinase subunit DhaK"
"Sugar catabolism ","CcpA","dhaKLM","SACOL0708","USA300HOU_0672","dhaL",5.1,34.24,"DAK2 domain-containing protein DhaL"
"Sugar catabolism ","CcpA","dhaKLM","SACOL0709","USA300HOU_0673","dhaM",4.77,27.21,"PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM"
"Sugar catabolism ","CcpA","drp35","SACOL2712","USA300HOU_2690","drp35",1.8,3.47,"drP35 protein"
"Sugar catabolism ","CcpA","fadAB","SACOL0211","USA300HOU_0240","fadA",2.56,5.9,"acetyl-CoA acetyltransferase"
"Sugar catabolism ","CcpA","fadAB","SACOL0212","USA300HOU_0241","fadB",3.78,13.75,"3-hydroxyacyl-CoA dehydrogenase"
"Sugar catabolism ","CcpA","fadDEX","SACOL0213","USA300HOU_0242","fadD",5.09,34,"acyl-CoA dehydrogenase"
"Sugar catabolism ","CcpA","fadDEX","SACOL0214","USA300HOU_0243","fadE",3.96,15.6,"long-chain-fatty-acid--CoA ligase"
"Sugar catabolism ","CcpA","fadDEX","SACOL0215","USA300HOU_0244","fadX",2.05,4.13,"propionate CoA-transferase"
"Sugar catabolism ","CcpA","glvC","SACOL2316","USA300HOU_2303","glvC",2.54,5.81,"PTS system, IIBC components"
"Sugar catabolism ","CcpA","hutI hutU","SACOL2323","USA300HOU_2310","hutI",1.91,3.76,"imidazolonepropionase"
"Sugar catabolism ","CcpA","hutI hutU","SACOL2324","USA300HOU_2311","hutU",2.26,4.78,"urocanate hydratase"
"Sugar catabolism ","CcpA","ipdC","SACOL0173","USA300HOU_0201","ipdC",4.29,19.61,"thiamine pyrophosphate TPP binding domain-containing protein"
"Sugar catabolism ","CcpA","kbl","SACOL0596","USA300HOU_0543","kbl",0.79,1.73,"2-amino-3-ketobutyrate coenzyme A ligase"
"Sugar catabolism ","CcpA","malA malR","SACOL1551","USA300HOU_1509","malA",0.55,1.46,"alpha-D-1,4-glucosidase"
"Sugar catabolism ","CcpA","malA malR","SACOL1552","USA300HOU_1510","malR",-1.48,0.36,"maltose operon transcriptional repressor"
"Sugar catabolism ","CcpA","rocD gluD","SACOL0960","USA300HOU_0916","rocD",3.78,13.7,"ornithine--oxo-acid transaminase"
"Sugar catabolism ","CcpA","rocD gluD","SACOL0961","USA300HOU_0917","gudB",3.56,11.78,"glutamate dehydrogenase"
"Sugar catabolism ","CcpA","rocF","SACOL2154","USA300HOU_2154","rocF",3.69,12.88,"arginase"
"Sugar catabolism ","CcpA","SACOL0176 murQ murP SACOL0179","SACOL0176","USA300HOU_0204","USA300HOU_0204",-0.44,0.74,"hypothetical protein"
"Sugar catabolism ","CcpA","SACOL0176 murQ murP SACOL0179","SACOL0177","USA300HOU_0205","murQ",0.49,1.41,"N-acetylmuramic acid-6-phosphate etherase"
"Sugar catabolism ","CcpA","SACOL0176 murQ murP SACOL0179","SACOL0178","USA300HOU_0206","murP",1.43,2.69,"N-acetylmuramic acid phosphotransfer permease"
"Sugar catabolism ","CcpA","SACOL0176 murQ murP SACOL0179","SACOL0179","USA300HOU_0207","USA300HOU_0207",2.28,4.85,"RpiR family phosphosugar-binding transcriptional regulator"
"Sugar catabolism ","CcpA","SACOL0308 psuG nupC","SACOL0308","USA300HOU_0331","USA300HOU_0331",0.78,1.71,"carbohydrate kinase"
"Sugar catabolism ","CcpA","SACOL0308 psuG nupC","SACOL0309","USA300HOU_0332","psuG",1.14,2.21,"hypothetical protein"
"Sugar catabolism ","CcpA","SACOL0308 psuG nupC","SACOL0310","USA300HOU_0333","nupC",0.96,1.94,"nucleoside permease"
"Sugar catabolism ","CcpA","SACOL2304","SACOL2304","USA300HOU_2294","USA300HOU_2294",1.61,3.05,"hypothetical protein"
"Sugar catabolism ","CcpA","SACOL2521","SACOL2521","USA300HOU_2499","USA300HOU_2499",2,4.01,"transporter"
"Sugar catabolism ","CcpA","SACOL2528","SACOL2528","USA300HOU_2507","USA300HOU_2507",0.72,1.64,"hypothetical protein"
"Sugar catabolism ","CcpA","scrR","SACOL2030","USA300HOU_2039","scrR",1.59,3,"sucrose operon repressor"
"Sugar catabolism ","CcpA","sdhC sdhA sdhB","SACOL1158","USA300HOU_1083","sdhC",-0.56,0.68,"succinate dehydrogenase, cytochrome b558 subunit"
"Sugar catabolism ","CcpA","sdhC sdhA sdhB","SACOL1159","USA300HOU_1084","sdhA",0.03,1.02,"succinate dehydrogenase flavoprotein subunit"
"Sugar catabolism ","CcpA","sdhC sdhA sdhB","SACOL1160","USA300HOU_1085","sdhB",0.61,1.53,"succinate dehydrogenase iron-sulfur subunit"
"Translation","Translation","rplL3 rpsL rpsG fusA tuf","SACOL0590","USA300HOU_0538","rplL3",-2.15,0.23,"possible RNA-binding ribosomal protein"
"Translation","Translation","rplL3 rpsL rpsG fusA tuf","SACOL0591","USA300HOU_0539","rpsL",-1.78,0.29,"ribosomal protein S12"
"Translation","Translation","rplL3 rpsL rpsG fusA tuf","SACOL0592","USA300HOU_0540","rpsG",-1.55,0.34,"ribosomal protein S7"
"Translation","Translation","rplL3 rpsL rpsG fusA tuf","SACOL0594","USA300HOU_0541","tuf",0.06,1.04,"elongation factor EF1A"
"Transport","ScrR","scrA","SACOL2376","USA300HOU_2362","scrA",-0.79,0.58,"PTS family sucrose porter component IIBC"
"Transport","ScrR","scrBK","SACOL2028","USA300HOU_2037","scrK",1.47,2.78,"fructokinase"
"Transport","ScrR","scrBK","SACOL2029","USA300HOU_2038","scrB",1.27,2.4,"beta-fructofuranosidase"
"Transport","TraP","-","SACOL0608","USA300HOU_0555","sdrC",-3.6,0.08,"Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrC"
"Transport","TraP","agrBDCA","SACOL2023","USA300HOU_2032","agrB",-1,0.5,"accessory gene regulator protein B"
"Transport","TraP","agrBDCA","SACOL2024","USA300HOU_2033","agrD",-0.78,0.58,"accessory gene regulator protein D"
"Transport","TraP","agrBDCA","SACOL2025","USA300HOU_2034","agrC",-0.4,0.76,"accessory gene regulator protein C"
"Transport","TraP","agrBDCA","SACOL2026","USA300HOU_2035","agrA",-0.12,0.92,"accessory gene regulator protein A"
"Transport","TraP","citM ","SACOL2636","USA300HOU_2615","citM",-1.84,0.28,"CitMHS citrate-magnesium :proton/ citrate-calcium:proton symporter"
"Transport","TraP","clfB","SACOL2652","USA300HOU_2630","clfB",-3.91,0.07,"clumping factor B"
"Transport","TraP","gltS","SACOL2340","USA300HOU_2326","gltS",-2.41,0.19,"ESS family glutamate:sodium (Na+) symporter"
"Transport","TraP","hld","SACOL2022","USA300HOU_2031","hld",-2.21,0.22,"delta-hemolysin"
"Transport","TraP","icaR","SACOL2688","USA300HOU_2665","icaR",1.04,2.05,"Ica operon transcriptional regulator R"
"Transport","TraP","lpl2 SACOL0487 SACOL0488 SACOL0489","SACOL0486","USA300HOU_0447","lpl2",2.3,4.93,"staphylococcal tandem lipoprotein"
"Transport","TraP","lpl2 SACOL0487 SACOL0488 SACOL0489","SACOL0487","USA300HOU_0448","USA300HOU_0448",1.89,3.71,"hypothetical protein"
"Transport","TraP","lpl2 SACOL0487 SACOL0488 SACOL0489","SACOL0488","USA300HOU_0449","USA300HOU_0449",1.37,2.59,"hypothetical protein"
"Transport","TraP","lpl2 SACOL0487 SACOL0488 SACOL0489","SACOL0489","USA300HOU_0450","USA300HOU_0450",1.05,2.07,"hypothetical protein"
"Transport","TraP","nirR","SACOL2399","USA300HOU_2383","nirR",-5.04,0.03,"transcriptional regulator NirR"
"Transport","TraP","pfoS/R","SACOL1917","USA300HOU_1854","pfoS/R",-1.4,0.38,"toxin regulatory protein"
"Transport","TraP","plc","SACOL0078","USA300HOU_0108","plc",-2.49,0.18,"phosphatidylinositol diacylglycerol-lyase"
"Transport","TraP","pyrR","SACOL1210","USA300HOU_1136","pyrR",-5.14,0.03,"possible uracil phosphoribosyltransferase"
"Transport","TraP","rbsKDU","SACOL0253","USA300HOU_0280","rbsK",-0.77,0.59,"ribokinase"
"Transport","TraP","rbsKDU","SACOL0254","USA300HOU_0281","rbsD",-1.25,0.42,"ribose ABC transporter, membrane protein"
"Transport","TraP","rbsKDU","SACOL0255","USA300HOU_0282","rbsU",-1.91,0.27,"DMT superfamily drug/metabolite transporter"
"Transport","TraP","SACOL0462","SACOL0462","USA300HOU_0415","USA300HOU_0415",1.65,3.13,"hypothetical protein"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0678","USA300HOU_0642","USA300HOU_0642",1.35,2.55,"possible bacteriophage integrase"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0679","USA300HOU_0643","mnhA",2.08,4.23,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhA subunit"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0680","USA300HOU_0644","mnhB",1.5,2.83,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhB subunit"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0681","USA300HOU_0645","mnhC",0.92,1.89,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhC subunit"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0682","USA300HOU_0646","mnhD",0.97,1.96,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhD subunit"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0684","USA300HOU_0647","mnhE",1.48,2.8,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhE subunit"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0685","USA300HOU_0648","mnhF",1.45,2.74,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhF subunit"
"Transport","TraP","SACOL0678 mnhABCDEFG","SACOL0686","USA300HOU_0649","mnhG",1.64,3.11,"CPA3 family monovalent cation (K+ or Na+):proton (H+) antiporter-3, MnhG subunit"
"Transport","TraP","SACOL1763 thiI nifZ","SACOL1763","USA300HOU_1701","USA300HOU_1701",-1.96,0.26,"hypothetical protein"
"Transport","TraP","SACOL1763 thiI nifZ","SACOL1764","USA300HOU_1702","thiI",-1.82,0.28,"thiamine biosynthesis protein"
"Transport","TraP","SACOL1763 thiI nifZ","SACOL1765","USA300HOU_1703","nifZ",-2.14,0.23,"cysteine desulfurase"
"Transport","TraP","sdrD","SACOL0609","USA300HOU_0556","sdrD",-4.14,0.06,"Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrD"
"Transport","TraP","spa","SACOL0095","USA300HOU_0122","spa",-1.68,0.31,"immunoglobulin G binding protein A"
"Transport","TraP","ssl11 SACOL0479","SACOL0478","USA300HOU_0435","ssl11",-4.1,0.06,"superantigen-like protein"
"Transport","TraP","ssl11 SACOL0479","SACOL0479","USA300HOU_0436","USA300HOU_0436",-1.48,0.36,"hypothetical protein"
"Transport","YtrA","ytrA pmtABCD","SACOL1993","USA300HOU_1933","pmtD",0.65,1.57,"hypothetical membrane protein"
"Transport","YtrA","ytrA pmtABCD","SACOL1994","USA300HOU_1934","pmtC",0.51,1.42,"ABC transporter,  ATP-binding protein"
"Transport","YtrA","ytrA pmtABCD","SACOL1995","USA300HOU_1935","pmtB",0.27,1.2,"hypothetical membrane protein"
"Transport","YtrA","ytrA pmtABCD","SACOL1996","USA300HOU_1936","pmtA",0.5,1.41,"ABC transporter,  ATP-binding protein"
"Transport","YtrA","ytrA pmtABCD","SACOL1997","USA300HOU_1937","ytrA",0.55,1.46,"GntR family transcriptional regulator"
"Virulence","AgrA","bsaA","SACOL1325","USA300HOU_1236","bsaA",2.83,7.11,"glutathione peroxidase"
"Virulence","AgrA","ftsK SACOL1296 SACOL1297 SACOL1298 phbB","SACOL1295","USA300HOU_1208","ftsK",0.16,1.12,"FtsK/SpoIIIE family protein"
"Virulence","AgrA","ftsK SACOL1296 SACOL1297 SACOL1298 phbB","SACOL1296","USA300HOU_1209","USA300HOU_1209",0.43,1.35,"GntR family transcriptional regulator"
"Virulence","AgrA","ftsK SACOL1296 SACOL1297 SACOL1298 phbB","SACOL1297","USA300HOU_1210","USA300HOU_1210",-1.99,0.25,"hypothetical protein"
"Virulence","AgrA","ftsK SACOL1296 SACOL1297 SACOL1298 phbB","SACOL1298","USA300HOU_1211","USA300HOU_1211",-1.35,0.39,"M16 family peptidase"
"Virulence","AgrA","ftsK SACOL1296 SACOL1297 SACOL1298 phbB","SACOL1299","USA300HOU_1212","phbB",-1.36,0.39,"putative 3-oxoacyl-acyl carrier protein reductase"
"Virulence","AgrA","gloA2","SACOL1207","USA300HOU_1131","gloA2",0.69,1.62,"glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein"
"Virulence","AgrA","greA udk SACOL1667 SACOL1668 SACOL1669","SACOL1665","USA300HOU_1610","greA",0.13,1.1,"transcription elongation factor GreA"
"Virulence","AgrA","greA udk SACOL1667 SACOL1668 SACOL1669","SACOL1666","USA300HOU_1611","udk",-0.1,0.93,"uridine kinase"
"Virulence","AgrA","greA udk SACOL1667 SACOL1668 SACOL1669","SACOL1667","USA300HOU_1612","USA300HOU_1612",-0.25,0.84,"U32 family peptidase"
"Virulence","AgrA","greA udk SACOL1667 SACOL1668 SACOL1669","SACOL1668","USA300HOU_1613","USA300HOU_1613",-0.36,0.78,"U32 family peptidase"
"Virulence","AgrA","greA udk SACOL1667 SACOL1668 SACOL1669","SACOL1669","USA300HOU_1614","USA300HOU_1614",-0.87,0.55,"O-methyltransferase"
"Virulence","AgrA","hit","SACOL1894","USA300HOU_1830","hit",0.93,1.9,"HIT family protein"
"Virulence","AgrA","mpsBA","SACOL0494","USA300HOU_0457","mpsA",1.18,2.27,"NADH dehydrogenase subunit 5"
"Virulence","AgrA","mpsBA","SACOL0495","USA300HOU_0458","mpsB",1.92,3.78,"hypothetical protein"
"Virulence","AgrA","rocA","SACOL2569","USA300HOU_2549","rocA",4.53,23.1,"1-pyrroline-5-carboxylate dehydrogenase"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0545","USA300HOU_0495","rplY",-2.46,0.18,"50S ribosomal protein L25/general stress protein rplY"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0546","USA300HOU_0496","pth",-0.15,0.9,"peptidyl-tRNA hydrolase"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0547","USA300HOU_0497","mfd",0.24,1.18,"transcription-repair coupling factor"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0548","USA300HOU_0498","USA300HOU_0498",0.3,1.23,"polysaccharide biosynthesis protein"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0549","USA300HOU_0499","mazG",0.45,1.36,"nucleoside triphosphate pyrophosphohydrolase"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0550","USA300HOU_0500","USA300HOU_0500",0.25,1.19,"S4 domain-containing protein"
"Virulence","AgrA","rplY pth mfd SACOL0548 mazG SACOL0550 divIC","SACOL0551","USA300HOU_0501","divIC",0.33,1.26,"cell-division protein divIC"
"Virulence","AgrA","SACOL0161","SACOL0161","USA300HOU_0189","USA300HOU_0189",0.78,1.72,"hypothetical protein"
"Virulence","AgrA","SACOL0196 mviM iolE","SACOL0196","USA300HOU_0224","USA300HOU_0224",2.95,7.75,"Gfo/Idh/MocA family oxidoreductase"
"Virulence","AgrA","SACOL0196 mviM iolE","SACOL0197","USA300HOU_0225","mviM",3.16,8.94,"NADH-dependent dehydrogenase"
"Virulence","AgrA","SACOL0196 mviM iolE","SACOL0198","USA300HOU_0226","iolE",3.24,9.44,"sugar phosphate isomerase/epimerase"
"Virulence","AgrA","SACOL0358 - SACOL0363","SACOL0358","USA300HOU_1465","USA300HOU_1465",1.57,2.97,"hypothetical protein"
"Virulence","AgrA","SACOL0358 - SACOL0363","SACOL0362","USA300HOU_1460","USA300HOU_1460",1.44,2.72,"hypothetical protein"
"Virulence","AgrA","SACOL1500 - SACOL1503 aroA aroB aroC","SACOL1500","USA300HOU_1398","USA300HOU_1398",1.65,3.15,"hypothetical protein"
